209|Na prvom si Langdon všimol desiatky kovových skriniek, veľkých ako chladnička.|Na prvom si Langdon všimol desiatky kovových skriniek, veľkých ako chladnička.
210|Boli usporiadané do radov ako kostolné lavice pred oltárom.|Boli usporiadané do radov ako kostolné lavice pred oltárom.
211|Nemali dvierka, takže vnútro bolo odhalené.|Nemali dvierka, takže vnútro bolo odhalené.
212|Z poprepájaných mriežok viseli ostročervené drôty, nad dlážkou boli prepletené do hustých pásov pripomínajúcich hadov, ktoré sa ťahali medzi prístrojmi a tvorili čosi, čo vyzeralo ako pavučina žíl.|Z poprepájaných mriežok viseli ostročervené drôty, nad dlážkou boli prepletené do hustých pásov pripomínajúcich hadov, ktoré sa ťahali medzi prístrojmi a tvorili čosi, čo vyzeralo ako pavučina žíl.
213|Usporiadaný chaos, pomyslel si Langdon.|Usporiadaný chaos, pomyslel si Langdon.
214|Na prvom podlaží vidíte slávny superpočítač MareNostrum, vysvetľoval Winston.|Na prvom podlaží vidíte slávny superpočítač MareNostrum, vysvetľoval Winston.
215|Štyridsaťosemtisícosemstodeväťdesiatšesť intelových jadier, ktoré komunikujú prostredníctvom siete InfiniBand FDR 10 jedného z najrýchlejších počítačov na svete.|Štyridsaťosemtisícosemstodeväťdesiatšesť intelových jadier, ktoré komunikujú prostredníctvom siete InfiniBand FDR desať jedného z najrýchlejších počítačov na svete.
216|Keď sem Edmond prišiel, MareNostrum tu už bolo.|Keď sem Edmond prišiel, MareNostrum tu už bolo.
217|Nechcel ho odstrániť, ale zakomponovať, a tak ho predĺžil dohora.|Nechcel ho odstrániť, ale zakomponovať, a tak ho predĺžil dohora.
218|Langdon zbadal, že všetky drôtené pásy sa zbiehajú uprostred a tvoria akýsi kmeň, ktorý sa dvíha rovno dohora k stropu prvého podlažia ako masívna réva.|Langdon zbadal, že všetky drôtené pásy sa zbiehajú uprostred a tvoria akýsi kmeň, ktorý sa dvíha rovno dohora k stropu prvého podlažia ako masívna réva.
219|Na druhom podlaží obrovskej sklenej kocky zbadal niečo celkom iné.|Na druhom podlaží obrovskej sklenej kocky zbadal niečo celkom iné.
220|Uprostred na vyvýšenej plošine stála veľká modrosivá kovová kocka.|Uprostred na vyvýšenej plošine stála veľká modrosivá kovová kocka.
221|Zaberala štvorcový meter.|Zaberala štvorcový meter.
222|Bez drôtov, nič na nej neblikalo ani nenaznačovalo, že je to najmodernejší počítač, ktorý Winston opisoval ledva zrozumiteľnými termínmi.|Bez drôtov, nič na nej neblikalo ani nenaznačovalo, že je to najmodernejší počítač, ktorý Winston opisoval ledva zrozumiteľnými termínmi.
223|Qubity nahrádzajú bity|Qubity nahrádzajú bity
224|Superpozície|Superpozície
225|Kvantové algoritmy|Kvantové algoritmy
226|Previazanie a tunelovanie.|Previazanie a tunelovanie.
227|Langdonovi svitlo, prečo sa s Edmondom rozprávali radšej o umení než o počítačoch.|Langdonovi svitlo, prečo sa s Edmondom rozprávali radšej o umení než o počítačoch.
228|Spracuje rádovo kvadrilióny operácií za sekundu, uzavrel Winston.|Spracuje rádovo kvadrilióny operácií za sekundu, uzavrel Winston.
229|Prepojením týchto dvoch veľmi odlišných počítačov vznikol najrýchlejší superpočítač na svete.|Prepojením týchto dvoch veľmi odlišných počítačov vznikol najrýchlejší superpočítač na svete.
230|Bože môj, šepla Ambra.|Bože môj, šepla Ambra.
231|V skutočnosti Edmondov boh, opravil ju Winston.|V skutočnosti Edmondov boh, opravil ju Winston.
